username| UID| reviewCategory| where| rating| title| review ID| Content
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Restaurant|Singapore: Pizza Express|2| “I don't know why so many good reviews”|review_510034441|Tried this place just tonight, based on the good reviews, big mistake. First, service was horrendous, no dedicated host/hostess leaving it to the wait staff, just made it confusing when trying to sit people at the proper table, we had ours switched 3 times by 2 different people before we even sat down. The pizza's were ok just passable as a pizza, the margarita pizza was a disappointment not a true margarita, but a plain pizza with one basil leaf dropped on top. We also tried the carbonara pizza, again disappointed on how not crispy the crust was. During our meal we ordered another item, which we waited and waited on, finally asked about it, and that person had no clue, the staff is the problem to many people trying to do too many things, hosting, sitting people,taking orders, delivering food etc..creates problems and slows service down which was evident tonight. The lasagna saved it from a terrible rating, that was pretty decent.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Attractions|Sentosa Island: Universal Studios Singapore|2| “Worst universal of them all”|review_509529038|We have been to the other parks, Orlando and Hollywood, and by far this park( Singapore) is the worst I have ever seen. There is a problem with crowd control, they do not have enough staff to properly handle the crowds. From the entry gate to the rides there is a visible staff shortage. The rides are not properly staffed, causing a back log in the ride times. The Mummy ride for instance they do not stage the next car ahead of time they wait till it's already in, wasting time and efficiency. Same experience with Jurassic park ride. And it continues with the food service and etc.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Hotel|New York City: The Marmara Park Avenue|5| “Great weekend getaway”|review_426460988|Was in the city for taking family to see Blue Man Group and just for a short get away.The hotel is very well appointed and beautiful. One of the few hotels in Manhattan with an indoor pool which came in handy the second day since it was raining, it gave the kids something to do for a while. Also there is a Turkish bath and spa on premise.The staff were extremely nice and professional. The location was perfect with a parking garage right next door which they will valet for you, and with a subway station right on the corner, perfect for getting around town.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Restaurant|Boston: Dolce Vita|5| “Great gem in the north end”|review_409780138|Came tonight on friends recommendation, and was not dissappointed. The place has a nice cozy feeling, and the owner Frank is a pure gentleman. It was like going to eat at your Italian grandmother's kitchen. Our meals were all perfectly prepared and delicious. I had the seafood rigatoni which was abundant in seafood, lobster,scallops,and shrimp. My wife had the portabella mushrooms with shrimp cavitelli, another tasty dish. We will definitely be coming back on our next visit to Boston.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Attractions|Boston: Boston Duck Tours|4| “Duck outing”|review_409295116|Went on the tour on our arrival was a fun introduction tour to Boston,,,our guide was very informative about all the history and sites Boston has to offer. Trip is just the right length at 1 1/2 hours. Book in advance to get the times you want to go.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Restaurant|Boston: Legal Harborside|5| “Dinner on the water”|review_409291362|Went for dinner last night, and we were not dissappointed. My tuna steak was cooked perfectly and was impressed with the choice of side dishes they had on hand. Both my kids enjoyed the food selection as well there is something there on the menu for everyone.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Restaurant|Lake George: The Lobster Pot|3| “Food is over rated and dissapointing”|review_399309669|Was there last night for dinner, the wait staff is fine the problem is the food. We started with the calamari, which was ok, the problem was the marinara sauce it was served with tasted more like ketchup with a bit of chopped basil sprinkled on it than marinara. The martinis were served in less than an average sized martini glass again disappointing since the drink itself was good. Entree's came I had ordered the surf and turf, strip steak medium rare and jumbo shrimp scampi. When it came the steak was over cooked to well past medium, not very flavorful as if it was not seasoned, and the 4 jumbo shrimp scampi were 4 medium sized shrimp in a white garlic type sauce, not a scampi, accompanying veggies again seemed very bland no seasoning, tasting like the came out of a frozen bag. My wife had the steamers which she said were OK, and the lobster tail along with the same veggies and baked potato. The positives were the wait staff and the outdoor seating which was nice. The negatives was how poorly the food was prepared.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Attractions|Nags Head: Bodie Island Lighthouse|4| “Nice views”|review_390461531|Came to see it today the light house was closed due to high heat but still worth the walk on the grounds and photo taking.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Restaurant|Nags Head: Miller's Waterfront Restaurant|4| “Fantastic lunch”|review_390460817|Came for lunch with family, staff was friendly and attentive, our waiter Adrian was very informative and nice. The food was fresh and tasty and the hush puppies were a must get.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Hotel|San Francisco: The Alise - A Staypineapple Hotel|5| “A true gem in the heart of SF”|review_367910188|I had the pleasure of staying at this property last week. I visited the hotel last year pre renovation and all I can say is what a transformation! Quintessential boutique hotel conveniently located a couple of blocks from Union Square. Lobby is bright and cheery. Rooms are elegantly appointed and décor vibrant and has a high-end feel giving you the feeling of luxury. My favorite part is the bed - I've stayed in many hotels and Hotel Grace has the most comfortable beds. Now on to the service.... I was away from my family, and the whole staff - from the General Manager - Graham, to the bell staff Ricky and William - made me feel at home and part of their family. Graham is always visible greeting guests. William and Ricky were both super friendly. Angie at the front desk was very helpful as well during my stay.Restaurant is still in the works but there are many places around to eat.I will definitely stay here again next time I am in town.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Restaurant|Ithaca: Taverna Banfi|5| “Great Anniversary Dinner”|review_350398770|went for our anniversary dinner while we had a long weekend in wine country. This place was worth the drive, from the great service from the moment we entered to the outstanding food each dish was better than the next.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Restaurant|Mohegan Lake: The Winery at St George|5| “Great date night”|review_350398036|pretty amazing wine bar in an old church, great setting, and even better food and wine. Went on a date night with the wife and we were not disappointed.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Attractions|New York City: Top of the Rock Observation Deck|5| “Great evening out”|review_349543714|Went out to dinner with the family as and afterwards walking it off we passed by and decided to go in, growing up and living in the city and never have been. It was probably one of the best observation experiences the city has to offer. Great views of the Empire State building..met life building..times Square. We went at night to see the lights and the lines were short at about 8:45pm.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Restaurant|New York City: Fogo de Chao Brazilian Steakhouse|4| “Meat Mecca”|review_349542996|Went here with the family for a weekend dinner. We were not dissappointed. The service was attentive and down to earth. The selections of meats were great, sausage, rack of lamb, leg of lamb,pork loin, chicken,different cuts of steaks all very flavorful. Kids 6 and under are free and kids 7 to 12 are half off. The wine and cocktail selections are pretty decent with something for every budget.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Attractions|London: The London Eye|4| “Amazing views”|review_348537154|Probably the best way to get a birds eye view of london....highly recommended this attraction. Go and see it at night and in the day time.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Attractions|London: Tower of London|4| “Incredible history”|review_348535261|Was very unique experience seeing something dating back hundreds of years. Also seeing the crown jewels is a must do.And the view of the tower bridge is amazing from the walls. Just a short hop on the tube from big ben.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Attractions|North Creek: Gore Mountain|4| “Great ski weekend ”|review_348530685|Two days of skiing and riding over presidents weekend did not dissappoint. Even with the bad winter of little natural snow there was plenty of the man made stuff to have a lot of terrain for all abilities. The gondola was a plus on the coldest day of the year. We were with a group that the kids ranged in age from 7 to 15 and had a blast. The lodge area had plenty of room and plenty of food choices to satisfy everyone.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Restaurant|New York City: Joe's Shanghai|3| “Rude staff but food good”|review_329782391|Was here for lunch. The wait staff was grumpy rude and pushy. The food makes up for the service. But at the end they try to force a bigger tip out of you saying you have to tell them the amount to charge your card before they swipe it and the conveniently list the tips 20% and higher. They said their machine does not work like most other restaurants, seemed a bit of scam, just leave cash.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Restaurant|Mahopac: Ramiro's 954|2| “Good food lousy service ”|review_328389245|I have to say the food is good but i was very disappointed with the service. We had a reservation for dinner at 8pm on friday night for dinner. We get there on time takes them about 10 minutes to get us a table..ok i get it was a busy friday night no big deal but there is no communication between hostess and wait staff. The hostess was taking us to a table but all of a sudden another couple who came in after us gets seated at the table we were supposed to have by a waitress...so now we have to wait again for another table for a couple of minutes. Then we get seated and it takes over 10 minutes for our waiter to come over to us, even though he saw us get seated and passed by several times checking on his other tables. This experience just ruined the meal for me.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Restaurant|Carmel: Gappy's Pizza|4| “Good pizza ”|review_318701397|My sons favorite pizza place. I love their eggplant parm. Typical pizzeria menu just done right and made fresh just wish they delivered.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Restaurant|Carmel: Smalley Inn|3| “Try it at least once.”|review_318699993|The place is very intriguing to see..historical building in downtown carmel. The food is ok nothing great. The bar food is good such as the wings and burgers. The bar section is large with music and karaoke. I say try it at least once.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Restaurant|Carmel: Greek Village Restaurant|5| “Great..go to spot”|review_318696301|Hidden little gem in putnam plaza. Standard diner food with great greek specialties. This is my sons favorite diner in the area and they have something for everyone. The atomic wings are a must have as well as the gyros. Never had a bad meal in this place. The wait staff is very friendly and make you feel at home.
billCarmel_NewYork|80C16101FB4733C8E3747B5B47A08E4D|Restaurant|Carmel: Izumi Japanise Restaurant|4| “Good fresh sushi ”|review_315910984|We have been coming here since they opened many years ago and the sushi is always good. Its the consistency in the quality of the sushi that keeps bringing us back. The staff is always very welcoming making you feel like family.
