UserID	movie
1	m1
1	m2
1	m3
1	m4
1	m5
1	m6
1	m7
1	m8
1	m9
1	m10
1	m11
1	m12
1	m13
1	m14
1	m15
1	m16
1	m17
1	m18
1	m19
1	m20
1	m21
1	m22
1	m23
1	m24
1	m25
1	m26
1	m27
1	m28
1	m29
1	m30
1	m31
1	m32
1	m33
1	m34
1	m35
1	m36
1	m37
1	m38
1	m39
1	m40
1	m41
1	m42
1	m43
1	m44
1	m45
1	m46
1	m47
1	m48
1	m49
1	m50
1	m51
1	m52
1	m53
1	m54
1	m55
1	m56
1	m57
1	m58
1	m59
1	m60
1	m61
1	m62
1	m63
1	m64
1	m65
1	m66
1	m67
1	m68
1	m69
1	m70
1	m71
1	m72
1	m73
1	m74
1	m75
1	m76
1	m77
1	m78
1	m79
1	m80
1	m81
1	m82
1	m83
1	m84
1	m85
1	m86
1	m87
1	m88
1	m89
1	m90
1	m91
1	m92
1	m93
1	m94
1	m95
1	m96
1	m97
1	m98
1	m99
1	m100
1	m101
1	m102
1	m103
1	m104
1	m105
1	m106
1	m107
1	m108
1	m109
1	m110
1	m111
1	m112
1	m113
1	m114
1	m115
1	m116
1	m117
1	m118
1	m119
1	m120
1	m121
1	m122
1	m123
1	m124
1	m125
1	m126
1	m127
1	m128
1	m129
1	m130
1	m131
1	m132
1	m133
1	m134
1	m135
1	m136
1	m137
1	m138
1	m139
1	m140
1	m141
1	m142
1	m143
1	m144
1	m145
1	m146
1	m147
1	m148
1	m149
1	m150
1	m151
1	m152
1	m153
1	m154
1	m155
1	m156
1	m157
1	m158
1	m159
1	m160
1	m161
1	m162
1	m163
1	m164
1	m165
1	m166
1	m167
1	m168
1	m169
1	m170
1	m171
1	m172
1	m173
1	m174
1	m175
1	m176
1	m177
1	m178
1	m179
1	m180
1	m181
1	m182
1	m183
1	m184
1	m185
1	m186
1	m187
1	m188
1	m189
1	m190
1	m191
1	m192
1	m193
1	m194
1	m195
1	m196
1	m197
1	m198
1	m199
1	m200
1	m201
1	m202
1	m203
1	m204
1	m205
1	m206
1	m207
1	m208
1	m209
1	m210
1	m211
1	m212
1	m213
1	m214
1	m215
1	m216
1	m217
1	m218
1	m219
1	m220
1	m221
1	m222
1	m223
1	m224
1	m225
1	m226
1	m227
1	m228
1	m229
1	m230
1	m231
1	m232
1	m233
1	m234
1	m235
1	m236
1	m237
1	m238
1	m239
1	m240
1	m241
1	m242
1	m243
1	m244
1	m245
1	m246
1	m247
1	m248
1	m249
1	m250
1	m251
1	m252
1	m253
1	m254
1	m255
1	m256
1	m257
1	m258
1	m259
1	m260
1	m261
1	m262
1	m263
1	m264
1	m265
1	m266
1	m267
1	m268
1	m269
1	m270
1	m271
1	m272
2	m1
2	m10
2	m13
2	m14
2	m19
2	m25
2	m50
2	m100
2	m111
2	m127
2	m237
2	m242
2	m251
2	m255
2	m257
2	m258
2	m269
2	m272
2	m273
2	m274
2	m275
2	m276
2	m277
2	m278
2	m279
2	m280
2	m281
2	m282
2	m283
2	m284
2	m285
2	m286
2	m287
2	m288
2	m289
2	m290
2	m291
2	m292
2	m293
2	m294
2	m295
2	m296
2	m297
2	m298
2	m299
2	m300
2	m301
2	m302
2	m303
2	m304
2	m305
2	m306
2	m307
2	m308
2	m309
2	m310
2	m311
2	m312
2	m313
2	m314
2	m315
2	m316
3	m181
3	m245
3	m258
3	m260
3	m264
3	m268
3	m271
3	m272
3	m288
3	m294
3	m299
3	m300
3	m302
3	m303
3	m307
3	m317
3	m318
3	m319
3	m320
3	m321
3	m322
3	m323
3	m324
3	m325
3	m326
3	m327
3	m328
3	m329
3	m330
3	m331
3	m332
3	m333
3	m334
3	m335
3	m336
3	m337
3	m338
3	m339
3	m340
3	m341
3	m342
3	m343
3	m344
3	m345
3	m346
3	m347
3	m348
3	m349
3	m350
3	m351
3	m352
3	m353
3	m354
3	m355
4	m11
4	m50
4	m210
4	m258
4	m260
4	m264
4	m271
4	m288
4	m294
4	m300
4	m301
4	m303
4	m324
4	m327
4	m328
4	m329
4	m354
4	m356
4	m357
4	m358
4	m359
4	m360
4	m361
4	m362
5	m1
5	m2
5	m17
5	m21
5	m24
5	m25
5	m29
5	m40
5	m42
5	m50
5	m62
5	m63
5	m66
5	m69
5	m70
5	m79
5	m80
5	m89
5	m90
5	m94
5	m95
5	m98
5	m99
5	m100
5	m101
5	m102
5	m105
5	m109
5	m110
5	m121
5	m135
5	m139
5	m143
5	m144
5	m145
5	m151
5	m153
5	m154
5	m162
5	m163
5	m167
5	m168
5	m169
5	m172
5	m173
5	m174
5	m176
5	m181
5	m183
5	m185
5	m186
5	m189
5	m194
5	m200
5	m204
5	m208
5	m209
5	m210
5	m211
5	m214
5	m216
5	m219
5	m222
5	m225
5	m226
5	m227
5	m228
5	m229
5	m230
5	m231
5	m233
5	m234
5	m235
5	m239
5	m241
5	m243
5	m250
5	m257
5	m259
5	m267
5	m363
5	m364
5	m365
5	m366
5	m367
5	m368
5	m369
5	m370
5	m371
5	m372
5	m373
5	m374
5	m375
5	m376
5	m377
5	m378
5	m379
5	m380
5	m381
5	m382
5	m383
5	m384
5	m385
5	m386
5	m387
5	m388
5	m389
5	m390
5	m391
5	m392
5	m393
5	m394
5	m395
5	m396
5	m397
5	m398
5	m399
5	m400
5	m401
5	m402
5	m403
5	m404
5	m405
5	m406
5	m407
5	m408
5	m409
5	m410
5	m411
5	m412
5	m413
5	m414
5	m415
5	m416
5	m417
5	m418
5	m419
5	m420
5	m421
5	m422
5	m423
5	m424
5	m425
5	m426
5	m427
5	m428
5	m429
5	m430
5	m431
5	m432
5	m433
5	m434
5	m435
5	m436
5	m437
5	m438
5	m439
5	m440
5	m441
5	m442
5	m443
5	m444
5	m445
5	m446
5	m447
5	m448
5	m449
5	m450
5	m451
5	m452
5	m453
5	m454
5	m455
5	m456
5	m457
6	m1
6	m7
6	m8
6	m9
6	m12
6	m13
6	m14
6	m15
6	m19
6	m21
6	m22
6	m23
6	m28
6	m32
6	m47
6	m50
6	m56
6	m59
6	m64
6	m69
6	m70
6	m71
6	m79
6	m81
6	m86
6	m87
6	m89
6	m95
6	m98
6	m100
6	m111
6	m117
6	m124
6	m125
6	m127
6	m131
6	m132
6	m133
6	m134
6	m135
6	m136
6	m137
6	m143
6	m151
6	m153
6	m154
6	m156
6	m165
6	m166
6	m168
6	m169
6	m170
6	m173
6	m174
6	m175
6	m177
6	m178
6	m180
6	m182
6	m183
6	m185
6	m186
6	m187
6	m188
6	m189
6	m191
6	m192
6	m193
6	m194
6	m195
6	m197
6	m199
6	m200
6	m202
6	m203
6	m204
6	m205
6	m208
6	m209
6	m211
6	m213
6	m216
6	m221
6	m223
6	m237
6	m238
6	m242
6	m246
6	m248
6	m257
6	m258
6	m259
6	m261
6	m268
6	m269
6	m272
6	m274
6	m275
6	m276
6	m284
6	m285
6	m286
6	m293
6	m294
6	m297
6	m298
6	m301
6	m302
6	m303
6	m304
6	m306
6	m308
6	m309
6	m310
6	m317
6	m318
6	m321
6	m340
6	m357
6	m367
6	m405
6	m408
6	m410
6	m419
6	m423
6	m425
6	m427
6	m432
6	m435
6	m458
6	m459
6	m460
6	m461
6	m462
6	m463
6	m464
6	m465
6	m466
6	m467
6	m468
6	m469
6	m470
6	m471
6	m472
6	m473
6	m474
6	m475
6	m476
6	m477
6	m478
6	m479
6	m480
6	m481
6	m482
6	m483
6	m484
6	m485
6	m486
6	m487
6	m488
6	m489
6	m490
6	m491
6	m492
6	m493
6	m494
6	m495
6	m496
6	m497
6	m498
6	m499
6	m500
6	m501
6	m502
6	m503
6	m504
6	m505
6	m506
6	m507
6	m508
